easting,northing,site_name,tmp1517065980255
2612071.548,1269294.122,,253.524
2612081.11773169,1269307.29360569,,252.9742
2612087.03215114,1269299.15310569,,252.5021
2612087.03215114,1269289.09089431,,252.2688
2612081.11773169,1269280.95039431,,252.6407
2612071.548,1269277.841,,253.5146
2612061.97826831,1269280.95039431,,254.1904
2612056.06384886,1269289.09089431,,253.9453
2612056.06384886,1269299.15310569,,253.792
2612061.97826831,1269307.29360569,,252.4646
2612071.548,1269310.403,,252.4697
2612086.97334783,1269282.62078261,,252.3935
2612096.43961015,1269295.64997492,,251.7288
2612102.29008201,1269287.59749123,,254.9084
2612102.29008201,1269277.64407399,,256.0064
2612096.43961015,1269269.5915903,,254.5447
2612086.97334783,1269266.51581522,,253.9872
2612077.5070855,1269269.5915903,,253.392
2612071.65661364,1269277.64407399,,253.5146
2612071.65661364,1269287.59749123,,253.6179
2612077.5070855,1269295.64997492,,253.1596
2612086.97334783,1269298.72575,,252.5021
2612102.39869565,1269271.11956522,,255.7216
2612112.21577855,1269286.39524438,,257.5433
2612118.91600699,1269278.66276856,,257.4366
2612120.37210579,1269268.53537897,,252.6245
2612116.12177386,1269259.22845026,,255.9134
2612107.51446156,1269253.69686653,,256.8591
2612097.28292974,1269253.69686653,,256.1051
2612088.67561744,1269259.22845026,,255.6565
2612084.42528552,1269268.53537897,,253.3522
2612085.88138431,1269278.66276856,,252.6754
2612092.58161276,1269286.39524438,,252.0188
2612102.39869565,1269289.2778,,254.9084
2612117.82404348,1269259.61834783,,255.9134
2612127.90340064,1269275.30213371,,252.4761
2612134.78263312,1269267.36307621,,252.486
2612136.27763321,1269256.96512218,,254.3517
2612131.91374895,1269247.40954854,,252.912
2612123.07648275,1269241.73018241,,255.4219
2612112.5716042,1269241.73018241,,257.2539
2612103.73433801,1269247.40954854,,256.3215
2612099.37045375,1269256.96512218,,254.0769
2612100.86545384,1269267.36307621,,255.4598
2612107.74468632,1269275.30213371,,257.0405
2612117.82404348,1269278.2617,,257.4366
2612133.2493913,1269248.11713043,,252.912
2612142.7278356,1269262.86587764,,257.3774
2612149.1969408,1269255.40013226,,257.2079
2612150.60281172,1269245.62208525,,257.1702
2612146.49909427,1269236.63619746,,257.0527
2612138.18868974,1269231.29542477,,253.1295
2612128.31009287,1269231.29542477,,254.4244
2612119.99968834,1269236.63619746,,257.3561
2612115.89597089,1269245.62208525,,257.3528
2612117.30184181,1269255.40013226,,255.9134
2612123.77094701,1269262.86587764,,252.7187
2612133.2493913,1269265.649,,252.486
2612148.67473913,1269236.61591304,,257.0527
2612158.67045761,1269253.92900531,,257.0891
2612165.98783139,1269246.61163152,,256.1491
2612168.66617609,1269236.61591304,,256.3731
2612165.98783139,1269226.62019457,,256.9473
2612158.67045761,1269219.30282078,,257.0502
2612148.67473913,1269216.62447609,,254.8522
2612138.67902065,1269219.30282078,,253.5106
2612131.36164687,1269226.62019457,,253.2971
2612128.68330217,1269236.61591304,,253.547
2612131.36164687,1269246.61163152,,252.912
2612138.67902065,1269253.92900531,,253.5987
2612148.67473913,1269256.60735,,257.2079
2612164.10008696,1269225.11469565,,256.9222
