easting,northing,site_name,tmp1517065975113
2612071.548,1269294.122,,253.524
2612086.97334783,1269282.62078261,,252.3935
2612102.39869565,1269271.11956522,,255.7216
2612117.82404348,1269259.61834783,,255.9134
2612133.2493913,1269248.11713043,,252.912
2612148.67473913,1269236.61591304,,257.0527
2612164.10008696,1269225.11469565,,256.9222
2612179.52543478,1269213.61347826,,256.8028
2612194.95078261,1269202.11226087,,256.1754
2612210.37613043,1269190.61104348,,255.8925
2612225.80147826,1269179.10982609,,255.8041
2612241.22682609,1269167.6086087,,255.7702
2612256.65217391,1269156.1073913,,255.8361
2612272.07752174,1269144.60617391,,255.854
2612287.50286957,1269133.10495652,,255.8845
2612302.92821739,1269121.60373913,,257.6697
2612318.35356522,1269110.10252174,,257.2939
2612333.77891304,1269098.60130435,,256.9379
2612349.20426087,1269087.10008696,,256.6304
2612364.6296087,1269075.59886957,,257.6801
2612380.05495652,1269064.09765217,,256.9727
2612395.48030435,1269052.59643478,,262.3742
2612410.90565217,1269041.09521739,,262.6054
2612426.331,1269029.594,,262.7191
2612437.73368449,1269013.1832246,,262.6749
2612449.13636898,1268996.7724492,,262.6941
2612460.53905348,1268980.3616738,,262.826
2612471.94173797,1268963.9508984,,262.787
2612483.34442246,1268947.54012299,,262.836
2612494.74710695,1268931.12934759,,262.6925
2612506.14979144,1268914.71857219,,262.8144
2612517.55247594,1268898.30779679,,262.6972
2612528.95516043,1268881.89702139,,262.7598
2612540.35784492,1268865.48624599,,262.6445
2612551.76052941,1268849.07547059,,262.7285
2612563.1632139,1268832.66469519,,262.7372
2612574.5658984,1268816.25391979,,262.748
2612585.96858289,1268799.84314439,,263.6637
2612597.37126738,1268783.43236898,,263.6678
2612608.77395187,1268767.02159358,,263.3254
2612620.17663636,1268750.61081818,,262.8504
2612631.57932086,1268734.20004278,,262.8743
2612642.98200535,1268717.78926738,,262.8926
2612654.38468984,1268701.37849198,,262.7537
2612665.78737433,1268684.96771658,,262.9241
2612677.19005882,1268668.55694118,,262.8891
2612688.59274332,1268652.14616578,,262.8999
2612699.99542781,1268635.73539037,,262.9276
2612711.3981123,1268619.32461497,,262.9665
2612722.80079679,1268602.91383957,,262.8878
2612734.20348128,1268586.50306417,,262.9397
2612745.60616578,1268570.09228877,,262.9418
2612757.00885027,1268553.68151337,,263.0723
2612768.41153476,1268537.27073797,,263.0215
2612779.81421925,1268520.85996257,,263.1364
2612791.21690374,1268504.44918717,,263.0221
2612802.61958823,1268488.03841176,,263.1062
2612814.02227273,1268471.62763636,,263.0544
2612825.42495722,1268455.21686096,,262.853
2612836.82764171,1268438.80608556,,262.7667
2612848.2303262,1268422.39531016,,262.8414
2612859.63301069,1268405.98453476,,262.756
2612871.03569519,1268389.57375936,,262.8353
2612882.43837968,1268373.16298396,,262.7323
2612893.84106417,1268356.75220856,,262.7182
2612905.24374866,1268340.34143316,,262.824
2612916.64643316,1268323.93065775,,262.8736
2612928.04911765,1268307.51988235,,262.9723
2612939.45180214,1268291.10910695,,262.8806
2612950.85448663,1268274.69833155,,262.9698
2612962.25717112,1268258.28755615,,262.828
2612973.65985561,1268241.87678075,,262.7574
2612985.06254011,1268225.46600535,,262.7026
2612996.4652246,1268209.05522995,,262.7862
2613007.86790909,1268192.64445455,,262.7882
2613019.27059358,1268176.23367914,,263.0437
2613030.67327807,1268159.82290374,,262.7867
2613042.07596257,1268143.41212834,,263.0919
2613053.47864706,1268127.00135294,,263.2098
2613064.88133155,1268110.59057754,,263.1841
2613076.28401604,1268094.17980214,,263.1224
2613087.68670053,1268077.76902674,,263.366
2613099.08938503,1268061.35825134,,263.5732
2613110.49206952,1268044.94747594,,264.1694
2613121.89475401,1268028.53670053,,261.2348
2613133.2974385,1268012.12592513,,257.8013
2613144.70012299,1267995.71514973,,257.775
2613156.10280749,1267979.30437433,,257.8611
2613167.50549198,1267962.89359893,,257.9351
2613178.90817647,1267946.48282353,,257.9202
2613190.31086096,1267930.07204813,,257.7189
2613201.71354545,1267913.66127273,,257.8557
2613213.11622995,1267897.25049733,,257.8341
2613224.51891444,1267880.83972193,,258.2579
2613235.92159893,1267864.42894652,,258.7239
2613247.32428342,1267848.01817112,,258.0523
2613258.72696791,1267831.60739572,,258.0262
2613270.12965241,1267815.19662032,,258.0911
